index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
103,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Philippines,,,,,,,,,,,,,,,,,,,7835.6,
104,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Russian Federation,15691.9,34884.6,12646.9,22470.2,20201.8,10738.5,13908.6,15607,32939.4,51342.8,88395.4,17968.9,35251.2,12027.3,53141.4,10907.1,27194.5,27027.2,2891.8,24262.8
105,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",United Kingdom,,,,,,,,,,,,,,,,,,,12361.6,
106,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",United States,,,6699.5,6699.5,11650,2461.9,266.9,177.9,,,,,,,224.2,,,,7273,
107,35,"էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում",Other countries,,,,,,,,,,,,,,,,,,,3429.8,
108,36,"ջրի հավաքում, մշակում և բաշխում",France,305.9,305.9,1739.4,1739.4,2827.7,2827.7,4953,4953,6155.6,6155.6,2615.5,2615.5,2037.3,2037.3,2104.5,2104.5,3496.9,3496.9,5070.4,5070.4
109,41,շենքերի շինարարություն                           ,Argentina,1630.4,1630.4,,,6650.8,,52.1,,,,,,,,,,,,,
110,41,շենքերի շինարարություն                           ,"Virgin Islands, British",21859.6,,26106.4,,2395.3,,1678.9,,455.2,349,98.5,21.9,,,2.6,,1.1,,4431.3,4422.2
111,41,շենքերի շինարարություն                           ,Russian Federation,223.6,643.4,484.9,292.8,,,,,44.1,44.1,41.1,41.1,1.2,1.2,32.2,32.2,,,10.3,10.3
112,41,շենքերի շինարարություն                           ,Switzerland,4216.5,4216.5,,,,,61.1,61.1,178.3,178.3,386.7,386.7,125.4,125.4,11.5,11.5,158.8,158.8,1386.8,1386.8
113,41,շենքերի շինարարություն                           ,United States,11,11,506.2,506.2,,,28.5,28.5,1691.4,1691.4,378.3,378.3,809.7,809.7,1020.8,1020.8,743.3,743.3,1016.2,1016.2
114,42,քաղաքացիական շինարարություն,Italy,,,,,361.3,225.2,211.3,222.7,743.2,667.3,799.9,804.2,529.4,359.9,6936.7,6682.6,33.2,57.5,668.2,668.2
115,45,ավտոմեքենաների և մոտոցիկլների մեծածախ ու մանրածախ առևտուր և նորոգում,Russian Federation,77.3,77.3,69.1,69.1,,,0.1,0.1,7,7,,,,,,,,,,
116,45,ավտոմեքենաների և մոտոցիկլների մեծածախ ու մանրածախ առևտուր և նորոգում,Uzbekistan,8.6,8.6,7.7,7.7,,,0,0,-0.8,-0.8,,,,,,,,,,
117,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",International organizations,,,,,,,,,,,,,,,,,,,3847.4,507.6
118,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Austria,,,,,,,,,,,219.6,219.6,67,67,106.6,106.6,652.7,652.7,2206.2,2206.2
119,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից","Virgin Islands, British",,,,,,,,,,,569.6,287.6,932.2,250.2,85.6,665.8,734.6,2209.3,,
120,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Belarus,24,1.2,23.4,-0.6,-0.7,-0.7,192.3,2.6,101.1,-0.1,,,1.7,1.7,6.9,6.9,1.2,1.2,,
121,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cyprus,372.3,281.1,59.8,69.8,34.2,365.9,92.1,47.7,130.1,153.4,162.9,171.5,26.7,46.9,44.7,15.6,69.9,34.7,41.9,41.9
122,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",France,,,,,,,,,,,,,,,,,,,1055.6,
123,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Georgia,,,,,,,,,,,48.9,7.8,192.1,3.4,23.8,23.8,3620.5,918.2,847.2,847.2
124,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Germany,,,,,,,,,,,,,,,,,,,1.4,
125,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Hungary,274,18.1,820.5,37.8,64.6,19.3,1671.4,1613.2,195.6,5.3,491.3,14.3,160.7,71.6,232.9,196.4,7.6,291.8,72.3,71.3
126,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Italy,,,,,,,,,,,,,,,,,,,646,
