,index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
174,175,61,telecommunications,Cyprus,,,,,16738.6,1848.9,309.8,4897.6,4990,1195.6,1157.5,2101,9600.3,6881.6,5906,2334,1787.5,5938.1,3260.1,4611.4
175,176,61,telecommunications,France,2538.6,3187.7,43182.1,42502.2,,,,,,,,,,,,,,,,
176,177,61,telecommunications,Lebanon,6970.3,537.9,7346.8,6671,14550.1,13030.9,7396.9,7259.8,5307.7,3552,7818.8,7684.5,,,,,,,,
177,178,61,telecommunications,Netherlands,,,,,,,,,,,82.7,82.7,113.6,113.6,95.8,95.8,170.7,169.6,287.5,287.5
178,179,61,telecommunications,Russian Federation,7393.2,5987,3203.2,3685.3,4458.7,3970.8,1878.9,1648,1571.9,1218.1,5445.4,1897.3,43119.5,44455.7,553.7,,18364.4,,12516.4,
179,180,61,telecommunications,Seychelles,2003,2875.8,2108.1,2108.1,522.6,522.6,,,,,,,,,,,,,,
180,181,61,telecommunications,Other countries,,,,,,,,,,,,,,,,,,,59334.5,
181,182,62,"computer programming, consultancy and related activities",Cyprus,,,,,,,,,,,,,,,,,,,718.8,718.8
182,183,62,"computer programming, consultancy and related activities",Georgia,,,,,,,,,0.2,0.2,,,,,,,,,,
183,184,62,"computer programming, consultancy and related activities",Germany,0.1,0.1,,,62.8,62.8,19.7,19.7,35.3,35.3,31.1,31.1,,,,,,,85.5,85.5
184,185,62,"computer programming, consultancy and related activities",Ireland,5765.8,5765.8,3966.2,3966.2,1148.2,1148.2,591.8,591.8,1436.4,1436.4,,,349.1,349.1,567,567,1144.4,1144.4,,
185,186,62,"computer programming, consultancy and related activities",Netherlands,,,,,,,,,,,27,210.3,815,577.5,845,899.5,662.5,641.4,35.6,19
186,187,62,"computer programming, consultancy and related activities",Russian Federation,27.2,27.2,2.5,2.5,1.2,1.2,25.8,25.8,1.2,1.2,4.5,4.5,6.8,6.8,1.6,1.6,1.1,1.1,,
187,188,62,"computer programming, consultancy and related activities",United States,582.8,582.8,538.1,608.9,541.6,541.6,576.7,576.7,530.3,530.3,,,,,266.9,266.9,209.3,209.3,1300,1300
188,189,63,information  service activities,International organizations,,,,,,,,,,,,,,,,,,,338.9,
189,190,63,information  service activities,Canada,1,,4.6,,14.1,,12.6,11.5,10.5,,19.6,,27.6,9.1,60.2,10.6,74.5,7.3,2.2,2.2
190,191,63,information  service activities,Greece,,,,,,,,,,,,,,,,,,,57.9,
